
[0, 0]
[0.02, 0]
[0.07064734, 0]
[0.08721526, 0]
[0.1177915, 0]
[0.1343594, 0]
[0.1509267, 0]
[0.1509267, 2]
[0.1674925, 0]
[0.1840601, 0]
[0.2006261, 0]
[0.2171925, 0]
[0.2337598, 0]
[0.2503265, 0]
[0.2668928, 0]
[0.2834598, 0]
[0.3000265, 0]
[0.3165928, 0]
[0.3331598, 0]
[0.3497262, 0]
[0.3662935, 0]
[0.3828595, 0]
[0.3994262, 0]
[0.4159929, 0]
[0.4325598, 0]
[0.4491262, 0]
[0.4656929, 0]
[0.4822596, 0]
[0.4988266, 0]
[0.5153932, 0]
[0.5319599, 0]
[0.5485269, 0]
[0.5650929, 0]
[0.5816602, 0]
[0.5982262, 0]
[0.6147936, 0]
[0.6313599, 0]
[0.6479266, 0]
[0.6644933, 0]
[0.68106, 0]
[0.6976267, 0]
[0.7141933, 0]
[0.7307597, 0]
[0.7476687, 0]
[0.7638933, 0]
[0.7804597, 0]
[0.7970266, 0]
[0.813593, 0]
[0.8693663, 0]
[0.885934, 0]
[0.9025006, 0]
[0.9190676, 0]
[0.935634, 0]
[0.952201, 0]
[0.9687673, 0]
[0.9853343, 0]
[1.001901, 0]
[1.099449, 0]
[1.116018, 0]
[1.132584, 0]
[1.149151, 0]
[1.245419, 0]
[1.261987, 0]
[1.278554, 0]
[1.295121, 0]
[1.311687, 0]
[1.328254, 0]
[1.328254, 2]
[1.344821, 0]
[1.361387, 0]
[1.377954, 0]
[1.394521, 0]
[1.411088, 0]
[1.427654, 0]
[1.444221, 0]
[1.460787, 0]
[1.477354, 0]
[1.493921, 0]
[1.510488, 0]
[1.527054, 0]
[1.543621, 0]
[1.560188, 0]
[1.576754, 0]
[1.593321, 0]
[1.609888, 0]
[1.626454, 0]
[1.643021, 0]
[1.659588, 0]
[1.676154, 0]
[1.692721, 0]
[1.709288, 0]
[1.725855, 0]
[1.742421, 0]
[1.758991, 0]
[1.775556, 0]
[1.792123, 0]
[1.808688, 0]
[1.825257, 0]
[1.841821, 0]
[1.85839, 0]
[1.874955, 0]
[1.891521, 0]
[1.908088, 0]
[1.924655, 0]
[1.941221, 0]
[1.957788, 0]
[1.974355, 0]
[1.990921, 0]
[2.007488, 0]
[2.024054, 0]
[2.040621, 0]
[2.057188, 0]
[2.073754, 0]
[2.090321, 0]
[2.109466, 0]
[2.123454, 0]
[2.140021, 0]
[2.156587, 0]
[2.173155, 0]
[2.189721, 0]
[2.206288, 0]
[2.222855, 0]
[2.239421, 0]
[2.255988, 0]
[2.272554, 0]
[2.289122, 0]
[2.305688, 0]
[2.322254, 0]
[2.338821, 0]
[2.355388, 0]
[2.371954, 0]
[2.388521, 0]
[2.405088, 0]
[2.421654, 0]
[2.438222, 0]
[2.454787, 0]
[2.471354, 0]
[2.487921, 0]
[2.504488, 0]
[2.521055, 0]
[2.537621, 0]
[2.554188, 0]
[2.570755, 0]
[2.587321, 0]
[2.603888, 0]
[2.620455, 0]
[2.637021, 0]
[2.653588, 0]
[2.670154, 0]
[2.686721, 0]
[2.703288, 0]
[2.719855, 0]
[2.736421, 0]
[2.752988, 0]
[2.769554, 0]
[2.786121, 0]
[2.802688, 0]
[2.819254, 0]
[2.835821, 0]
[2.852388, 0]
[2.868954, 0]
[2.885521, 0]
[2.902088, 0]
[2.918654, 0]
[2.943646, 0]
[2.960214, 0]
[2.976781, 0]
[2.993348, 0]
[3.009914, 0]
[3.026481, 0]
[3.043047, 0]
[3.059614, 0]
[3.076181, 0]
[3.092747, 0]
[3.109314, 0]
[3.125881, 0]
[3.142447, 0]
[3.159015, 0]
[3.175581, 0]
[3.192148, 0]
[3.192148, 2]
[3.208714, 0]
[3.225281, 0]
[3.241848, 0]
[3.258415, 0]
[3.274981, 0]
[3.291548, 0]
[3.308114, 0]
[3.324681, 0]
[3.341248, 0]
[3.357816, 0]
[3.374381, 0]
[3.390951, 0]
[3.407515, 0]
[3.424084, 0]
[3.440648, 0]
[3.457215, 0]
[3.473781, 0]
[3.490351, 0]
[3.506914, 0]
[3.523481, 0]
[3.540048, 0]
[3.556614, 0]
[3.573182, 0]
[3.589748, 0]
[3.606315, 0]
